BugId,CId,project,ER_QA,R_QA,ER_Electra,R_Electra,ER_MLM,R_MLM,CodeBERT_MLM,CodeBERT_Base
91417,33354,AspectJ,10,10,3,11,1,11,10,10
91417,33150,AspectJ,5,10,10,8,7,5,10,9
48120,33099,Tomcat,2,4,8,5,7,3,1,2
91417,33048,AspectJ,8,10,3,11,1,10,9,9
48135,32895,Tomcat,11,1,1,5,1,1,7,6
91417,32895,AspectJ,10,8,3,11,1,9,10,10
48174,32793,Tomcat,4,2,9,1,6,2,11,6
91417,32691,AspectJ,8,10,3,11,1,10,8,9
91417,32589,AspectJ,8,10,1,11,1,10,10,9
48248,32385,Tomcat,4,9,2,8,2,7,2,4
56779,32385,AspectJ,2,7,3,9,3,9,3,3
56779,32283,AspectJ,1,7,5,3,8,8,5,5
56779,32232,AspectJ,5,11,3,1,3,11,3,3
48285,32181,Tomcat,11,5,1,8,3,3,1,1
47502,32079,Tomcat,1,1,3,2,2,3,1,10
56779,32028,AspectJ,4,11,1,11,1,11,1,3
56779,31926,AspectJ,6,11,1,9,3,11,1,3
112027,31773,AspectJ,10,1,2,10,1,2,1,2
113073,31671,AspectJ,10,4,3,3,2,1,5,8
113073,31620,AspectJ,10,11,1,2,1,1,3,5
48643,31416,Tomcat,6,7,8,8,8,7,3,1
112615,31365,AspectJ,6,11,4,11,5,10,4,4
112615,31314,AspectJ,4,11,5,9,5,10,4,4
48371,31263,Tomcat,11,10,2,10,4,11,9,8
99191,31263,AspectJ,4,11,3,11,2,11,4,5
113861,31161,AspectJ,5,8,1,6,4,2,2,10
48662,30957,Tomcat,9,7,9,11,9,5,11,11
48662,30906,Tomcat,1,11,9,9,11,5,8,8
108892,30906,AspectJ,8,8,2,4,2,7,4,4
113510,30804,AspectJ,10,8,3,10,1,11,3,4
49091,30549,Tomcat,10,11,1,10,3,11,4,2
113118,30447,AspectJ,11,2,1,1,1,2,6,6
49045,30396,Tomcat,10,11,10,7,8,9,10,10
115235,30396,AspectJ,1,3,1,11,1,1,3,1
49109,30345,Tomcat,9,3,8,8,11,9,10,11
115235,30294,AspectJ,1,3,1,1,1,1,3,1
116305,30243,AspectJ,4,3,1,2,1,1,4,4
49109,30192,Tomcat,2,3,7,2,7,4,1,7
116255,30192,AspectJ,6,2,2,4,4,3,3,3
116755,29937,AspectJ,10,9,6,11,3,4,8,9
116755,29835,AspectJ,2,5,9,5,9,5,9,9
116755,29682,AspectJ,2,1,6,5,1,1,6,8
116755,29631,AspectJ,2,7,7,11,7,8,6,8
49143,29580,Tomcat,2,6,3,9,3,9,2,4
48689,29529,Tomcat,4,8,3,10,3,7,8,9
116755,29529,AspectJ,1,6,7,8,7,4,6,7
48689,29478,Tomcat,1,9,1,2,2,9,8,4
48689,29427,Tomcat,4,9,3,10,3,11,8,9
48689,29325,Tomcat,4,8,1,5,2,9,2,2
116755,29325,AspectJ,10,8,7,6,4,5,8,9
115607,29172,AspectJ,4,11,1,3,1,11,1,1
48689,29121,Tomcat,4,9,3,10,3,7,8,8
49207,29019,Tomcat,2,6,2,11,1,5,2,4
103051,28968,AspectJ,10,3,3,11,2,2,4,7
117189,28917,AspectJ,8,10,3,7,1,10,8,8
103157,28815,AspectJ,6,6,5,8,6,6,7,5
49221,28713,Tomcat,7,7,4,7,1,6,6,2
49340,28662,Tomcat,5,10,3,11,3,9,11,11
103157,28560,AspectJ,1,2,10,5,7,3,9,8
49376,28458,Tomcat,1,5,9,5,8,8,6,6
49376,28356,Tomcat,3,9,3,6,6,11,3,8
49445,28254,Tomcat,11,6,6,4,4,3,9,11
49445,28203,Tomcat,11,9,3,10,3,9,10,11
49525,28101,Tomcat,3,7,4,9,9,6,11,9
49478,28050,Tomcat,4,6,9,5,9,9,2,1
48960,27999,Tomcat,4,5,2,11,3,7,8,7
117614,27999,AspectJ,3,5,1,1,1,2,1,1
117614,27948,AspectJ,3,5,1,1,1,1,1,1
117614,27897,AspectJ,2,1,1,1,1,1,1,1
49127,27795,Tomcat,10,10,3,6,3,7,7,8
49617,27744,Tomcat,10,8,6,10,5,10,10,10
117614,27744,AspectJ,3,6,2,4,1,3,6,5
49617,27693,Tomcat,11,9,7,6,5,3,10,9
117614,27693,AspectJ,7,6,2,2,1,3,1,2
49407,27591,Tomcat,10,6,8,9,6,5,8,8
49721,27336,Tomcat,11,6,8,10,5,11,8,6
49749,27234,Tomcat,9,10,4,5,10,5,7,8
118698,27132,AspectJ,5,10,1,2,3,11,6,7
49831,26877,Tomcat,3,11,5,4,4,6,1,5
118715,26877,AspectJ,6,7,4,10,1,3,6,7
49892,26826,Tomcat,3,9,1,9,4,11,11,10
118715,26826,AspectJ,4,5,6,10,5,6,4,3
49924,26724,Tomcat,6,8,4,10,6,3,7,7
118715,26724,AspectJ,4,4,5,10,3,2,4,3
49102,26673,Tomcat,6,9,7,7,4,11,8,3
118715,26673,AspectJ,3,6,6,10,6,10,6,7
49102,26622,Tomcat,11,8,7,11,4,9,11,10
119352,26571,AspectJ,9,11,1,11,1,11,2,1
50021,26367,Tomcat,8,10,3,11,3,8,2,2
49730,26265,Tomcat,10,8,11,6,11,11,3,3
120543,26214,AspectJ,6,11,3,10,1,11,8,9
50054,26112,Tomcat,11,9,2,11,4,11,9,9
50054,26061,Tomcat,11,6,2,11,4,9,9,9
50027,26010,Tomcat,2,5,1,1,1,1,4,3
50087,25959,Tomcat,8,3,1,1,1,1,2,4
50168,25806,Tomcat,2,11,7,10,3,3,1,1
50168,25755,Tomcat,11,5,10,7,9,1,3,3
50168,25602,Tomcat,3,4,11,7,10,11,1,3
50308,25398,Tomcat,2,6,1,10,1,1,1,1
50308,25347,Tomcat,1,8,2,9,1,2,9,11
50207,25245,Tomcat,9,8,1,10,3,1,11,11
49142,24990,Tomcat,5,2,2,5,1,10,1,4
49142,24429,Tomcat,2,1,2,9,5,10,1,5
49142,24378,Tomcat,5,1,2,11,1,10,1,1
49142,24327,Tomcat,11,11,1,11,1,11,1,1
49142,24174,Tomcat,1,3,1,11,11,10,1,1
49142,24123,Tomcat,1,1,2,11,1,10,1,1
49142,24021,Tomcat,5,11,1,9,1,11,1,1
49142,23562,Tomcat,11,11,1,11,1,11,1,1
49142,23307,Tomcat,1,3,2,9,5,10,1,5
49142,23256,Tomcat,5,1,2,4,1,10,1,1
49142,23103,Tomcat,5,2,11,9,5,10,10,11
49142,23001,Tomcat,11,11,1,1,1,11,1,1
49142,22644,Tomcat,2,11,1,9,2,11,1,1
