BugId,CId,project,position
65711,326196,Eclipse_Platform_UI,8
66092,265251,JDT,11
66354,246942,JDT,11
66439,325686,Eclipse_Platform_UI,1
66548,263160,JDT,10
66664,263058,JDT,7
66717,248829,SWT,4
67046,262344,JDT,1
67355,249135,SWT,8
67626,222258,SWT,5
68096,248319,SWT,11
68273,245667,SWT,9
68787,293607,Eclipse_Platform_UI,5
70160,246534,SWT,2
71640,301410,Eclipse_Platform_UI,11
72046,258060,JDT,1
72046,258111,JDT,5
72426,320637,Eclipse_Platform_UI,3
72784,217515,SWT,9
72784,217566,SWT,9
73027,322881,Eclipse_Platform_UI,2
73027,322932,Eclipse_Platform_UI,2
73100,240516,SWT,4
73890,257193,JDT,10
74241,242250,SWT,5
74627,247044,JDT,11
74882,241332,SWT,11
76374,36414,AspectJ,1
76506,320892,Eclipse_Platform_UI,7
77076,35547,AspectJ,1
77269,34629,AspectJ,1
77439,252807,JDT,4
77738,319311,Eclipse_Platform_UI,11
77839,253164,JDT,1
77950,248931,JDT,1
77983,239139,SWT,10
78051,248676,JDT,1
78261,42840,AspectJ,7
78562,238680,SWT,8
79881,226236,SWT,10
79989,247962,JDT,11
81098,241128,JDT,11
81140,240516,JDT,3
81250,240057,JDT,11
81598,317883,Eclipse_Platform_UI,10
82336,229755,SWT,7
82475,241893,JDT,3
82703,230724,SWT,5
82743,294780,Eclipse_Platform_UI,9
82989,42483,AspectJ,10
82989,42585,AspectJ,11
83133,186354,SWT,5
83262,235875,SWT,6
83697,241179,JDT,11
83935,43401,AspectJ,10
84314,281265,Eclipse_Platform_UI,11
84586,314772,Eclipse_Platform_UI,7
85119,232713,SWT,11
85312,223737,SWT,1
85377,234498,JDT,4
85547,231948,SWT,8
85831,232764,JDT,10
85875,231795,SWT,2
86057,42789,AspectJ,11
86830,220014,SWT,8
87294,220473,SWT,3
87636,218535,SWT,11
87664,230061,SWT,5
87695,227511,SWT,11
87695,228582,SWT,11
88188,232968,JDT,8
88653,306561,Eclipse_Platform_UI,6
88741,231591,JDT,10
88941,231234,JDT,2
89139,307428,Eclipse_Platform_UI,3
90223,226083,SWT,3
90246,215628,SWT,1
90246,215679,SWT,3
90646,291975,Eclipse_Platform_UI,9
91114,42891,AspectJ,10
91159,218178,SWT,6
91417,32589,AspectJ,10
91417,32691,AspectJ,10
91417,32895,AspectJ,9
91417,33048,AspectJ,10
91417,33150,AspectJ,5
91417,33354,AspectJ,11
93380,195993,SWT,1
93918,217311,SWT,3
94438,302328,Eclipse_Platform_UI,10
94818,217107,SWT,2
94946,214965,SWT,7
95974,301155,Eclipse_Platform_UI,8
96114,301002,Eclipse_Platform_UI,4
96212,210528,SWT,10
96494,213996,SWT,4
97011,212721,SWT,3
97125,212160,SWT,5
98332,299829,Eclipse_Platform_UI,7
99167,210069,SWT,5
99167,210171,SWT,3
99167,210273,SWT,9
99191,31263,AspectJ,11
99381,194157,SWT,3
100231,208896,SWT,11
101606,40800,AspectJ,10
102543,207315,SWT,1
103051,28968,AspectJ,2
103157,28560,AspectJ,3
103157,28815,AspectJ,6
103299,282693,Eclipse_Platform_UI,1
103740,40035,AspectJ,1
104024,41973,AspectJ,11
104212,43197,AspectJ,1
104720,42381,AspectJ,3
104957,36465,AspectJ,5
105133,205326,SWT,9
105213,205785,SWT,3
105665,296259,Eclipse_Platform_UI,7
105809,296514,Eclipse_Platform_UI,9
105849,205530,SWT,4
107377,290088,Eclipse_Platform_UI,2
107713,42279,AspectJ,1
107858,41871,AspectJ,1
108117,33762,AspectJ,6
108117,33915,AspectJ,1
108117,34119,AspectJ,1
108117,34272,AspectJ,6
108117,34425,AspectJ,6
108117,34476,AspectJ,6
108118,34833,AspectJ,10
108120,36669,AspectJ,1
108120,36771,AspectJ,9
108120,37026,AspectJ,7
108120,37434,AspectJ,8
108120,37485,AspectJ,8
108120,37689,AspectJ,9
108120,37740,AspectJ,6
108120,37995,AspectJ,7
108120,38097,AspectJ,6
108120,38148,AspectJ,6
108120,38301,AspectJ,6
108120,38352,AspectJ,8
108120,38454,AspectJ,6
108120,38505,AspectJ,9
108120,39015,AspectJ,8
108120,39423,AspectJ,6
108120,39729,AspectJ,9
108143,291414,Eclipse_Platform_UI,10
108624,291210,Eclipse_Platform_UI,4
108826,40086,AspectJ,8
108826,40137,AspectJ,7
108886,40341,AspectJ,9
108892,30906,AspectJ,7
108996,186915,SWT,10
109016,40188,AspectJ,10
109173,36108,AspectJ,2
109283,36210,AspectJ,10
109283,36261,AspectJ,10
109283,36312,AspectJ,10
109283,36363,AspectJ,10
110346,199869,SWT,9
112027,31773,AspectJ,2
112490,289323,Eclipse_Platform_UI,3
112615,31314,AspectJ,10
112615,31365,AspectJ,10
113073,31620,AspectJ,1
113073,31671,AspectJ,1
113118,30447,AspectJ,2
113178,274278,Eclipse_Platform_UI,6
113244,195840,SWT,2
113510,30804,AspectJ,11
113557,288864,Eclipse_Platform_UI,1
113861,31161,AspectJ,2
114390,287589,Eclipse_Platform_UI,5
114390,287844,Eclipse_Platform_UI,1
115235,30294,AspectJ,1
115235,30396,AspectJ,1
115607,29172,AspectJ,11
116255,30192,AspectJ,3
116305,30243,AspectJ,1
116755,29325,AspectJ,5
116755,29529,AspectJ,4
116755,29631,AspectJ,8
116755,29682,AspectJ,1
116755,29835,AspectJ,5
116755,29937,AspectJ,4
117149,359397,Birt,9
117189,28917,AspectJ,10
117614,27693,AspectJ,3
117614,27744,AspectJ,3
117614,27897,AspectJ,1
117614,27948,AspectJ,1
117614,27999,AspectJ,2
117816,194055,SWT,1
118240,193953,SWT,3
118698,27132,AspectJ,11
118715,26673,AspectJ,10
118715,26724,AspectJ,2
118715,26826,AspectJ,6
118715,26877,AspectJ,3
119352,26571,AspectJ,11
120543,26214,AspectJ,11
120921,279174,Eclipse_Platform_UI,11
121383,304419,Birt,1
122053,280449,Eclipse_Platform_UI,8
123375,275706,Eclipse_Platform_UI,11
123375,275961,Eclipse_Platform_UI,11
123375,276522,Eclipse_Platform_UI,5
123496,279021,Eclipse_Platform_UI,9
123922,180183,SWT,1
123922,180387,SWT,1
123922,180540,SWT,1
123922,180897,SWT,1
123977,279480,Eclipse_Platform_UI,1
123989,277797,Eclipse_Platform_UI,11
124414,191658,SWT,1
124839,359754,Birt,10
125060,356643,Birt,2
126779,272748,Eclipse_Platform_UI,10
126839,256275,Eclipse_Platform_UI,4
126839,256530,Eclipse_Platform_UI,4
126839,258774,Eclipse_Platform_UI,1
127070,355368,Birt,9
127523,261528,Eclipse_Platform_UI,3
127523,261630,Eclipse_Platform_UI,11
127861,265506,Eclipse_Platform_UI,11
127861,268464,Eclipse_Platform_UI,1
127861,268617,Eclipse_Platform_UI,1
127861,269688,Eclipse_Platform_UI,1
127861,271218,Eclipse_Platform_UI,11
128359,353634,Birt,2
129246,261426,Eclipse_Platform_UI,5
129535,188649,SWT,10
129700,355317,Birt,7
130101,188139,SWT,3
130338,251430,Eclipse_Platform_UI,8
131008,347055,Birt,1
131008,347208,Birt,11
131160,186711,SWT,3
131649,342822,Birt,1
131978,253521,Eclipse_Platform_UI,8
132101,253929,Eclipse_Platform_UI,11
132401,306714,Birt,6
132914,325533,Birt,7
132943,331908,Birt,4
133183,174522,SWT,3
134057,349503,Birt,8
134353,176919,SWT,2
134760,173145,SWT,1
134760,173553,SWT,11
134948,345780,Birt,7
135088,251022,Eclipse_Platform_UI,1
135444,332316,Birt,9
136067,343587,Birt,8
136256,339813,Birt,4
136724,245055,Eclipse_Platform_UI,7
137310,248268,Eclipse_Platform_UI,1
137320,178755,SWT,1
137640,247146,Eclipse_Platform_UI,10
137640,247197,Eclipse_Platform_UI,10
138404,246279,Eclipse_Platform_UI,2
138556,337722,Birt,5
138562,331398,Birt,11
138824,246483,Eclipse_Platform_UI,9
139110,334254,Birt,5
139365,333387,Birt,6
139511,245616,Eclipse_Platform_UI,10
140697,215373,Eclipse_Platform_UI,4
142430,322116,Birt,11
142787,305541,Birt,10
143104,324105,Birt,1
143105,329154,Birt,11
145303,320637,Birt,6
145526,176154,SWT,3
145698,318903,Birt,6
145724,319617,Birt,7
145970,318750,Birt,2
146208,287589,Birt,7
146250,172992,SWT,3
146481,317424,Birt,9
146548,316506,Birt,3
146867,308856,Birt,10
147218,315486,Birt,6
147530,218892,Eclipse_Platform_UI,1
147545,243372,Eclipse_Platform_UI,7
147737,242760,Eclipse_Platform_UI,11
147819,313752,Birt,7
147977,265251,Birt,11
148392,310284,Birt,4
148626,251226,Birt,9
148724,311763,Birt,6
148743,308907,Birt,8
148747,311967,Birt,9
148747,312069,Birt,9
150347,308142,Birt,1
150347,308346,Birt,10
150764,172023,SWT,1
150805,212109,Eclipse_Platform_UI,10
151361,292842,Birt,1
152443,260406,Birt,10
154328,300594,Birt,8
155496,292332,Birt,10
155551,288252,Birt,10
156166,290955,Birt,10
157135,289221,Birt,4
157722,288711,Birt,2
160276,286161,Birt,3
160650,284631,Birt,1
160700,233682,Eclipse_Platform_UI,10
161222,280194,Birt,2
161401,232305,Eclipse_Platform_UI,5
161828,232815,Eclipse_Platform_UI,4
161912,283356,Birt,4
162805,227766,Eclipse_Platform_UI,4
162916,231744,Eclipse_Platform_UI,1
163732,281877,Birt,8
164217,227409,Eclipse_Platform_UI,10
166015,266679,Birt,7
166029,278358,Birt,1
166443,274839,Birt,5
167080,224808,Birt,10
167450,220167,Eclipse_Platform_UI,2
167893,214557,Eclipse_Platform_UI,1
169529,215526,Eclipse_Platform_UI,10
169694,213792,Eclipse_Platform_UI,9
169696,213996,Eclipse_Platform_UI,9
169697,213384,Eclipse_Platform_UI,7
171415,211854,Eclipse_Platform_UI,7
171998,212262,Eclipse_Platform_UI,7
172097,271065,Birt,5
172604,260253,Birt,10
173601,262242,Birt,11
175406,267342,Birt,1
175954,257142,Birt,1
175954,257244,Birt,4
176299,241842,Birt,1
176467,219708,Birt,6
176875,263466,Birt,6
177864,256173,Birt,7
177864,256275,Birt,2
177864,256683,Birt,2
177870,261426,Birt,6
178179,258672,Birt,6
178179,258927,Birt,1
178682,238782,Birt,10
179661,239700,Birt,5
180189,253317,Birt,9
180366,243678,Birt,11
180414,253827,Birt,3
180645,243933,Birt,10
180842,250308,Birt,1
180879,247044,Birt,8
182000,238986,Birt,4
182519,244596,Birt,9
183562,236895,Birt,2
183733,234600,Birt,11
183733,235110,Birt,2
183897,237609,Birt,1
183910,237456,Birt,10
186861,227358,Birt,11
186965,228939,Birt,11
187201,226746,Birt,1
187201,226848,Birt,10
188204,218535,Birt,7
188829,219147,Birt,8
188835,218943,Birt,9
189108,217770,Birt,9
