BugId,CId,position,project
50168,25602,8,Tomcat
49445,28254,9,Tomcat
49109,30192,2,Tomcat
44380,38964,9,Tomcat
43743,39780,3,Tomcat
49127,27795,4,Tomcat
43191,38556,9,Tomcat
50207,25245,1,Tomcat
49376,28356,7,Tomcat
48643,31416,10,Tomcat
46950,33915,6,Tomcat
48120,33099,4,Tomcat
49617,27744,7,Tomcat
43944,40035,1,Tomcat
49142,23562,7,Tomcat
50168,25755,11,Tomcat
48662,30906,3,Tomcat
49142,24123,1,Tomcat
49221,28713,3,Tomcat
43909,39984,3,Tomcat
48960,27999,4,Tomcat
50054,26061,2,Tomcat
42579,35445,9,Tomcat
50308,25398,9,Tomcat
49892,26826,6,Tomcat
48689,29325,2,Tomcat
48689,29427,5,Tomcat
46075,37230,1,Tomcat
49445,28203,5,Tomcat
49142,24990,1,Tomcat
48689,29121,1,Tomcat
48285,32181,5,Tomcat
49142,24429,1,Tomcat
44558,39372,5,Tomcat
49525,28101,4,Tomcat
46696,36516,3,Tomcat
49142,24378,1,Tomcat
45608,37893,9,Tomcat
49142,23103,8,Tomcat
49340,28662,2,Tomcat
43611,40239,4,Tomcat
49142,24174,1,Tomcat
42409,37128,3,Tomcat
49142,22644,1,Tomcat
48689,29478,11,Tomcat
50168,25806,8,Tomcat
49831,26877,1,Tomcat
49730,26265,2,Tomcat
49924,26724,7,Tomcat
50054,26112,7,Tomcat
48135,32895,5,Tomcat
50308,25347,11,Tomcat
48689,29529,2,Tomcat
48371,31263,3,Tomcat
49045,30396,2,Tomcat
48174,32793,11,Tomcat
49478,28050,6,Tomcat
47378,34221,5,Tomcat
96212,210528,2,SWT
34739,285804,11,SWT
130101,188139,5,SWT
59528,254439,9,SWT
99167,210069,2,SWT
99167,210171,3,SWT
134760,173145,11,SWT
105133,205326,6,SWT
82336,229755,6,SWT
34159,203388,11,SWT
90223,226083,3,SWT
105213,205785,6,SWT
35773,284580,4,SWT
72784,217515,5,SWT
97011,212721,6,SWT
108996,186915,4,SWT
66717,248829,8,SWT
55748,254337,5,SWT
146250,172992,2,SWT
46037,265506,6,SWT
113244,195840,5,SWT
57188,244341,4,SWT
134353,176919,11,SWT
85547,231948,10,SWT
87636,218535,3,SWT
91159,218178,9,SWT
28684,265200,8,SWT
150764,172023,3,SWT
77983,239139,4,SWT
63154,253062,1,SWT
24700,278613,7,SWT
74882,241332,6,SWT
97125,212160,8,SWT
62982,251736,8,SWT
32006,272952,4,SWT
68273,245667,5,SWT
55522,257805,11,SWT
118240,193953,10,SWT
68096,248319,1,SWT
82703,230724,5,SWT
33529,285141,2,SWT
123922,180183,1,SWT
129535,188649,6,SWT
123922,180897,1,SWT
83262,235875,7,SWT
131160,186711,4,SWT
90246,215679,4,SWT
86830,220014,10,SWT
63003,252348,3,SWT
58642,248880,2,SWT
70160,246534,3,SWT
63266,218637,5,SWT
93918,217311,8,SWT
145526,176154,9,SWT
85875,231795,5,SWT
55920,257958,6,SWT
123922,180540,1,SWT
99381,194157,1,SWT
83133,186354,9,SWT
43011,270861,1,SWT
78562,238680,10,SWT
40156,273717,4,SWT
100231,208896,10,SWT
72784,217566,7,SWT
33359,278103,3,SWT
37212,281112,2,SWT
