BugId,CId,position,project
50168,25602,11,Tomcat
49445,28254,9,Tomcat
49109,30192,11,Tomcat
44380,38964,3,Tomcat
43743,39780,6,Tomcat
49127,27795,6,Tomcat
43191,38556,1,Tomcat
50207,25245,1,Tomcat
49376,28356,4,Tomcat
48643,31416,4,Tomcat
46950,33915,2,Tomcat
48120,33099,11,Tomcat
49617,27744,3,Tomcat
43944,40035,9,Tomcat
49142,23562,1,Tomcat
50168,25755,2,Tomcat
48662,30906,1,Tomcat
49142,24123,1,Tomcat
49221,28713,3,Tomcat
43909,39984,8,Tomcat
48960,27999,1,Tomcat
50054,26061,2,Tomcat
42579,35445,4,Tomcat
50308,25398,6,Tomcat
49892,26826,1,Tomcat
48689,29325,8,Tomcat
48689,29427,7,Tomcat
46075,37230,5,Tomcat
49445,28203,2,Tomcat
49142,24990,1,Tomcat
48689,29121,3,Tomcat
48285,32181,6,Tomcat
49142,24429,1,Tomcat
44558,39372,2,Tomcat
49525,28101,8,Tomcat
46696,36516,1,Tomcat
49142,24378,1,Tomcat
45608,37893,4,Tomcat
49142,23103,6,Tomcat
49340,28662,2,Tomcat
43611,40239,1,Tomcat
49142,24174,1,Tomcat
42409,37128,1,Tomcat
49142,22644,1,Tomcat
48689,29478,3,Tomcat
50168,25806,3,Tomcat
49831,26877,7,Tomcat
49730,26265,8,Tomcat
49924,26724,3,Tomcat
50054,26112,2,Tomcat
48135,32895,4,Tomcat
50308,25347,1,Tomcat
48689,29529,7,Tomcat
48371,31263,1,Tomcat
49045,30396,6,Tomcat
48174,32793,11,Tomcat
49478,28050,9,Tomcat
47378,34221,5,Tomcat
96212,210528,1,SWT
34739,285804,8,SWT
130101,188139,1,SWT
59528,254439,3,SWT
99167,210069,9,SWT
99167,210171,9,SWT
134760,173145,11,SWT
105133,205326,5,SWT
82336,229755,9,SWT
34159,203388,6,SWT
90223,226083,10,SWT
105213,205785,7,SWT
35773,284580,5,SWT
72784,217515,4,SWT
97011,212721,6,SWT
108996,186915,1,SWT
66717,248829,1,SWT
55748,254337,1,SWT
146250,172992,1,SWT
46037,265506,2,SWT
113244,195840,3,SWT
57188,244341,5,SWT
134353,176919,7,SWT
85547,231948,8,SWT
87636,218535,10,SWT
91159,218178,1,SWT
28684,265200,5,SWT
150764,172023,1,SWT
77983,239139,10,SWT
63154,253062,2,SWT
24700,278613,1,SWT
74882,241332,2,SWT
97125,212160,8,SWT
62982,251736,3,SWT
32006,272952,1,SWT
68273,245667,7,SWT
55522,257805,4,SWT
118240,193953,4,SWT
68096,248319,4,SWT
82703,230724,2,SWT
33529,285141,3,SWT
123922,180183,1,SWT
129535,188649,5,SWT
123922,180897,1,SWT
83262,235875,2,SWT
131160,186711,10,SWT
90246,215679,10,SWT
86830,220014,3,SWT
63003,252348,9,SWT
58642,248880,7,SWT
70160,246534,7,SWT
63266,218637,5,SWT
93918,217311,6,SWT
145526,176154,9,SWT
85875,231795,5,SWT
55920,257958,1,SWT
123922,180540,1,SWT
99381,194157,4,SWT
83133,186354,3,SWT
43011,270861,9,SWT
78562,238680,8,SWT
40156,273717,3,SWT
100231,208896,8,SWT
72784,217566,7,SWT
33359,278103,9,SWT
37212,281112,9,SWT
99167,210273,6,SWT
96494,213996,4,SWT
94818,217107,2,SWT
73100,240516,7,SWT
124414,191658,3,SWT
102543,207315,11,SWT
37782,276573,5,SWT
87664,230061,9,SWT
117816,194055,3,SWT
85119,232713,6,SWT
85312,223737,3,SWT
93380,195993,3,SWT
79881,226236,1,SWT
33166,278919,8,SWT
74241,242250,1,SWT
67355,249135,1,SWT
94946,214965,6,SWT
55541,257295,6,SWT
54426,190383,1,SWT
54575,254541,3,SWT
87695,227511,1,SWT
105849,205530,8,SWT
87294,220473,8,SWT
32828,262548,5,SWT
87695,228582,1,SWT
134760,173553,5,SWT
123922,180387,1,SWT
110346,199869,1,SWT
67626,222258,7,SWT
137320,178755,1,SWT
56063,252858,4,SWT
65695,249594,8,SWT
133183,174522,2,SWT
90246,215628,6,SWT
9440,383214,5,JDT
20508,368016,2,JDT
50100,294066,1,JDT
47874,298197,9,JDT
44204,277644,1,JDT
77839,253164,1,JDT
53839,289272,6,JDT
41798,310182,1,JDT
79989,247962,1,JDT
29711,347616,2,JDT
85831,232764,5,JDT
28369,352869,6,JDT
19702,367200,4,JDT
46341,288711,1,JDT
36498,323493,1,JDT
45517,303909,2,JDT
46351,302532,5,JDT
40952,307989,4,JDT
66548,263160,2,JDT
81098,241128,4,JDT
36498,323085,1,JDT
60715,279939,2,JDT
61005,276063,2,JDT
78051,248676,1,JDT
67046,262344,7,JDT
47010,280500,6,JDT
58778,282591,7,JDT
30786,348534,7,JDT
56459,284529,6,JDT
37399,319617,6,JDT
49527,284478,1,JDT
53000,285039,2,JDT
18034,375411,5,JDT
72046,258111,11,JDT
29698,350931,2,JDT
33034,336345,1,JDT
43248,286926,1,JDT
46946,301665,2,JDT
56459,284631,7,JDT
38299,318087,6,JDT
28250,352257,7,JDT
51026,263772,2,JDT
27075,354144,6,JDT
64897,268413,1,JDT
29161,351849,1,JDT
63845,270045,7,JDT
66664,263058,4,JDT
40347,313803,2,JDT
73890,257193,2,JDT
83697,241179,1,JDT
63769,270708,1,JDT
77950,248931,5,JDT
17317,376992,1,JDT
38482,278154,5,JDT
62863,272595,1,JDT
23553,353277,6,JDT
18510,369597,1,JDT
85377,234498,1,JDT
74627,247044,2,JDT
81250,240057,1,JDT
88188,232968,3,JDT
37197,320331,9,JDT
32906,326400,2,JDT
57569,276267,7,JDT
9112,378675,1,JDT
72046,258060,11,JDT
32831,336192,7,JDT
26452,356235,6,JDT
60101,279072,1,JDT
23188,365874,1,JDT
16230,371841,2,JDT
17916,373779,2,JDT
49838,289527,1,JDT
25324,346188,1,JDT
9228,381735,2,JDT
48122,300084,6,JDT
53888,282489,4,JDT
88941,231234,10,JDT
17603,376074,6,JDT
81140,240516,1,JDT
31150,344556,2,JDT
32626,329205,2,JDT
28824,351441,1,JDT
34335,325584,1,JDT
66092,265251,1,JDT
66354,246942,1,JDT
40243,239088,8,JDT
28720,338640,7,JDT
82475,241893,5,JDT
63688,260865,1,JDT
45509,304419,4,JDT
23528,364242,2,JDT
63529,270657,1,JDT
44204,277491,1,JDT
23528,364446,2,JDT
48122,300237,8,JDT
27807,348993,11,JDT
88741,231591,1,JDT
32987,335325,1,JDT
77439,252807,3,JDT
29107,346392,1,Eclipse_Platform_UI
72426,320637,9,Eclipse_Platform_UI
169529,215526,8,Eclipse_Platform_UI
147530,218892,1,Eclipse_Platform_UI
137640,247197,5,Eclipse_Platform_UI
53424,337059,5,Eclipse_Platform_UI
164217,227409,11,Eclipse_Platform_UI
167893,214557,4,Eclipse_Platform_UI
59476,282336,2,Eclipse_Platform_UI
161401,232305,8,Eclipse_Platform_UI
98332,299829,5,Eclipse_Platform_UI
82743,294780,1,Eclipse_Platform_UI
89139,307428,5,Eclipse_Platform_UI
123977,279480,9,Eclipse_Platform_UI
161828,232815,2,Eclipse_Platform_UI
138404,246279,2,Eclipse_Platform_UI
77738,319311,7,Eclipse_Platform_UI
113178,274278,11,Eclipse_Platform_UI
26435,350523,1,Eclipse_Platform_UI
126779,272748,1,Eclipse_Platform_UI
73027,322881,8,Eclipse_Platform_UI
96114,301002,8,Eclipse_Platform_UI
38462,339507,4,Eclipse_Platform_UI
53565,335580,4,Eclipse_Platform_UI
123375,275706,11,Eclipse_Platform_UI
50022,337467,9,Eclipse_Platform_UI
114390,287589,7,Eclipse_Platform_UI
123375,275961,10,Eclipse_Platform_UI
169696,213996,7,Eclipse_Platform_UI
38782,343485,1,Eclipse_Platform_UI
123989,277797,1,Eclipse_Platform_UI
169697,213384,1,Eclipse_Platform_UI
147737,242760,4,Eclipse_Platform_UI
66439,325686,3,Eclipse_Platform_UI
35192,344505,9,Eclipse_Platform_UI
127861,269688,1,Eclipse_Platform_UI
129246,261426,6,Eclipse_Platform_UI
171998,212262,7,Eclipse_Platform_UI
26366,350676,8,Eclipse_Platform_UI
126839,258774,11,Eclipse_Platform_UI
162805,227766,1,Eclipse_Platform_UI
95974,301155,8,Eclipse_Platform_UI
