,overall,AspectJ,Birt,Eclipse_Platform_UI,JDT,SWT,Tomcat
Reformer_Electra,0.246,0.252,0.178,0.237,0.238,0.366,0.203
Reformer_MLM,0.302,0.323,0.306,0.299,0.267,0.364,0.255
Reformer_QA,0.236,0.22,0.239,0.293,0.242,0.2,0.224
Roberta_Electra,0.407,0.522,0.245,0.369,0.516,0.396,0.393
Roberta_MLM,0.073,0.069,0.049,0.07,0.109,0.07,0.073
Roberta_QA,0.288,0.307,0.287,0.293,0.331,0.206,0.303
