BugId,CId,project,Roberta_MLM,Roberta_QA,Roberta_Electra,Reformer_MLM,Reformer_QA,Reformer_Electra
175954,257142,Birt,1,11,6,1,8,6
175954,257244,Birt,4,1,6,4,10,11
176299,241842,Birt,1,10,1,1,1,1
176467,219708,Birt,6,11,7,6,7,8
176875,263466,Birt,6,7,10,6,4,10
177864,256173,Birt,7,8,10,7,8,10
177864,256275,Birt,2,11,10,2,7,5
177864,256683,Birt,2,11,10,2,2,5
177870,261426,Birt,6,4,8,6,5,11
178179,258672,Birt,6,3,2,6,6,7
178179,258927,Birt,1,11,1,1,9,1
178682,238782,Birt,10,8,10,10,9,9
179661,239700,Birt,5,8,11,5,5,8
180189,253317,Birt,9,11,1,9,11,10
180366,243678,Birt,11,10,9,11,11,11
180414,253827,Birt,3,1,1,3,1,7
180645,243933,Birt,10,11,4,10,10,8
180842,250308,Birt,1,3,11,1,1,3
180879,247044,Birt,8,5,3,8,11,9
182000,238986,Birt,4,1,3,4,3,7
182519,244596,Birt,9,1,1,9,5,10
183562,236895,Birt,2,9,10,2,2,4
183733,234600,Birt,11,1,7,11,9,11
183733,235110,Birt,2,6,3,2,1,11
183897,237609,Birt,1,3,1,1,10,9
183910,237456,Birt,10,2,4,10,8,4
186861,227358,Birt,11,3,9,11,7,8
186965,228939,Birt,11,7,7,11,10,11
187201,226746,Birt,1,8,6,1,2,4
187201,226848,Birt,10,2,3,10,10,11
188204,218535,Birt,7,7,7,7,6,9
188829,219147,Birt,8,10,1,8,11,9
188835,218943,Birt,9,1,7,9,9,11
189108,217770,Birt,9,3,2,9,9,10
