BugId,CId,project,Roberta_MLM,Roberta_QA,Roberta_Electra,Reformer_MLM,Reformer_QA,Reformer_Electra
49109,30192,Tomcat,4,2,7,4,3,2
49109,30345,Tomcat,9,9,8,9,3,8
49127,27795,Tomcat,7,10,3,7,10,6
49142,22644,Tomcat,11,2,1,11,11,9
49142,23001,Tomcat,11,11,1,11,11,1
49142,23103,Tomcat,10,5,11,10,2,9
49142,23256,Tomcat,10,5,2,10,1,4
49142,23307,Tomcat,10,1,2,10,3,9
49142,23562,Tomcat,11,11,1,11,11,11
49142,24021,Tomcat,11,5,1,11,11,9
49142,24123,Tomcat,10,1,2,10,1,11
49142,24174,Tomcat,10,1,1,10,3,11
49142,24327,Tomcat,11,11,1,11,11,11
49142,24378,Tomcat,10,5,2,10,1,11
49142,24429,Tomcat,10,2,2,10,1,9
49142,24990,Tomcat,10,5,2,10,2,5
49143,29580,Tomcat,9,2,3,9,6,9
49207,29019,Tomcat,5,2,2,5,6,11
49221,28713,Tomcat,6,7,4,6,7,7
49340,28662,Tomcat,9,5,3,9,10,11
49376,28356,Tomcat,11,3,3,11,9,6
49376,28458,Tomcat,8,1,9,8,5,5
49407,27591,Tomcat,5,10,8,5,6,9
49445,28203,Tomcat,9,11,3,9,9,10
49445,28254,Tomcat,3,11,6,3,6,4
49478,28050,Tomcat,9,4,9,9,6,5
49525,28101,Tomcat,6,3,4,6,7,9
49527,284478,JDT,7,4,1,7,6,8
49617,27693,Tomcat,3,11,7,3,9,6
49617,27744,Tomcat,10,10,6,10,8,10
49721,27336,Tomcat,11,11,8,11,6,10
49730,26265,Tomcat,11,10,11,11,8,6
49749,27234,Tomcat,5,9,4,5,10,5
49831,26877,Tomcat,6,3,5,6,11,4
49838,289527,JDT,11,10,6,11,11,8
49892,26826,Tomcat,11,3,1,11,9,9
49924,26724,Tomcat,3,6,4,3,8,10
50021,26367,Tomcat,8,8,3,8,10,11
50022,337467,Eclipse_Platform_UI,1,8,1,1,9,2
50027,26010,Tomcat,1,2,1,1,5,1
50054,26061,Tomcat,9,11,2,9,6,11
50054,26112,Tomcat,11,11,2,11,9,11
50087,25959,Tomcat,1,8,1,1,3,1
50100,294066,JDT,9,3,2,9,8,8
50151,339252,Eclipse_Platform_UI,5,8,10,5,11,11
50168,25602,Tomcat,11,3,11,11,4,7
50168,25755,Tomcat,1,11,10,1,5,7
50168,25806,Tomcat,3,2,7,3,11,10
50207,25245,Tomcat,1,9,1,1,8,10
50308,25347,Tomcat,2,1,2,2,8,9
50308,25398,Tomcat,1,2,1,1,6,10
51026,263772,JDT,11,11,2,11,11,11
53000,285039,JDT,7,11,11,7,8,7
53424,337059,Eclipse_Platform_UI,11,9,10,11,2,5
53565,335580,Eclipse_Platform_UI,4,5,7,4,7,10
53839,289272,JDT,11,11,4,11,6,5
53888,282489,JDT,11,11,10,11,8,5
54426,190383,SWT,1,4,1,1,9,3
54575,254541,SWT,9,6,3,9,3,9
55522,257805,SWT,1,11,9,1,3,11
55541,257295,SWT,1,10,8,1,4,10
55748,254337,SWT,10,3,5,10,9,10
55827,331959,Eclipse_Platform_UI,10,5,4,10,10,11
55920,257958,SWT,7,5,2,7,11,10
56063,252858,SWT,7,7,6,7,6,1
56459,284529,JDT,1,4,1,1,1,5
56459,284631,JDT,1,3,1,1,1,5
56779,31926,AspectJ,11,6,1,11,11,9
56779,32028,AspectJ,11,4,1,11,11,11
56779,32232,AspectJ,11,5,3,11,11,1
56779,32283,AspectJ,8,1,5,8,7,3
56779,32385,AspectJ,9,2,3,9,7,9
56973,319821,Eclipse_Platform_UI,8,4,3,8,9,9
57188,244341,SWT,4,4,4,4,8,10
57569,276267,JDT,1,1,1,1,1,1
58095,333234,Eclipse_Platform_UI,3,11,3,3,10,5
58642,248880,SWT,9,9,10,9,5,11
58778,282591,JDT,3,3,3,3,1,3
59076,41616,AspectJ,11,11,1,11,11,11
59476,282336,Eclipse_Platform_UI,10,7,1,10,9,5
59528,254439,SWT,11,4,4,11,9,10
60101,279072,JDT,3,1,3,3,11,2
60277,331755,Eclipse_Platform_UI,7,4,9,7,8,5
60715,279939,JDT,8,5,4,8,9,8
61005,276063,JDT,11,11,2,11,11,11
62863,272595,JDT,2,1,1,2,1,2
62982,251736,SWT,6,7,5,6,4,7
63003,252348,SWT,10,8,2,10,6,2
63154,253062,SWT,1,10,1,1,6,7
63266,218637,SWT,8,10,5,8,10,11
63529,270657,JDT,10,10,1,10,8,8
63688,260865,JDT,11,11,1,11,11,11
63769,270708,JDT,11,11,11,11,11,11
63845,270045,JDT,1,1,1,1,2,1
64568,42942,AspectJ,9,3,1,9,8,8
64897,268413,JDT,11,10,1,11,11,11
65444,325482,Eclipse_Platform_UI,11,1,8,11,6,8
65695,249594,SWT,7,5,7,7,10,4
65711,326196,Eclipse_Platform_UI,8,5,7,8,5,8
66092,265251,JDT,11,1,1,11,10,10
66354,246942,JDT,11,10,1,11,11,11
66439,325686,Eclipse_Platform_UI,1,8,1,1,11,1
66548,263160,JDT,10,1,2,10,2,5
66664,263058,JDT,7,5,8,7,8,11
66717,248829,SWT,4,5,2,4,10,5
67046,262344,JDT,1,1,1,1,1,1
67355,249135,SWT,8,3,6,8,11,8
67626,222258,SWT,5,10,1,5,1,1
68096,248319,SWT,11,5,5,11,11,1
68273,245667,SWT,9,6,3,9,9,4
68787,293607,Eclipse_Platform_UI,5,8,10,5,9,2
70160,246534,SWT,2,11,5,2,11,10
71640,301410,Eclipse_Platform_UI,11,3,2,11,4,1
72046,258060,JDT,1,1,1,1,4,1
72046,258111,JDT,5,1,2,5,1,3
72426,320637,Eclipse_Platform_UI,3,6,7,3,8,3
72784,217515,SWT,9,9,9,9,9,11
72784,217566,SWT,9,6,6,9,9,1
73027,322881,Eclipse_Platform_UI,2,3,8,2,5,10
73027,322932,Eclipse_Platform_UI,2,10,6,2,11,1
